sample_stamp_sec,sample_stamp_nanosec,pose1_stamp_sec,pose1_stamp_nanosec,pose1_x,pose1_y,pose1_z,pose2_stamp_sec,pose2_stamp_nanosec,pose2_x,pose2_y,pose2_z,distance,distance_sum
1755383480,679696721,1755383480,653956871,74.69123840332031,28.13953971862793,156.838623046875,1755383480,633932812,74.69755036000936,28.147292102316214,157.22936669413338,0.390872,420.644248
1755383481,179538297,1755383481,154294544,75.31954193115234,28.415584564208984,156.51092529296875,1755383481,133939968,75.3272988057669,28.423313812841272,156.98603863226708,0.475240,421.119487
1755383481,679740874,1755383481,654519663,75.944580078125,28.694778442382812,156.15003967285156,1755383481,633978270,75.95159537862096,28.700030512444428,156.6975620052479,0.547592,421.667080
1755383482,179571841,1755383482,155751939,76.56568908691406,28.97154998779297,155.7555694580078,1755383482,134193258,76.57056400566384,28.977529844156265,156.36474705734256,0.609226,422.276306
1755383482,679538665,1755383482,654324857,77.18315124511719,29.247344970703125,155.32640075683594,1755383482,634078731,77.18348235775375,29.25551715643138,155.98893377967363,0.662584,422.938890
1755383483,179507250,1755383483,152884552,77.792724609375,29.52654457092285,154.86526489257812,1755383483,133926839,77.79067362890893,29.534166084265266,155.57093602562614,0.705715,423.644605
1755383483,679494292,1755383483,655489764,78.39665985107422,29.80576515197754,154.37188720703125,1755383483,633950938,78.39233096841957,29.81359750544968,155.1115890732516,0.739756,424.384361
1755383484,179520174,1755383484,155419186,78.99256134033203,30.08675193786621,153.84771728515625,1755383484,133976470,78.98817306447489,30.093713463913218,154.61209975896062,0.764427,425.148788
1755383484,679494343,1755383484,659155110,79.58517456054688,30.371273040771484,153.29002380371094,1755383484,634070313,79.57821688725573,30.3745536139364,154.07348863600708,0.783503,425.932290
1755383485,179518772,1755383485,134891313,80.16844177246094,30.65252113342285,152.70301818847656,1755383485,134003242,80.16220163472948,30.656024521313867,153.4970678838463,0.794082,426.726372
1755383485,679524410,1755383485,634513314,80.74604797363281,30.931257247924805,152.087158203125,1755383485,634091435,80.74020746639025,30.93819506565019,152.88386372649916,0.796757,427.523129
1755383486,179491734,1755383486,132788793,81.31751251220703,31.213064193725586,151.44552612304688,1755383486,133876868,81.31184116269782,31.220901695951056,152.2354433628968,0.789976,428.313106
1755383486,679518023,1755383486,661687433,81.88929748535156,31.499496459960938,150.7717742919922,1755383486,634208759,81.87800454961996,31.50462504047617,151.55188731886483,0.780212,429.093317
1755383487,179577151,1755383487,134145208,82.44840240478516,31.782459259033203,150.08023071289062,1755383487,134001399,82.43744148477015,31.788767972014014,150.83586303338217,0.755738,429.849056
1755383487,679507560,1755383487,654117202,83.00296020507812,32.06734848022461,149.35935974121094,1755383487,634181236,82.99088466991677,32.07373106114889,150.08764804360442,0.728416,430.577472
1755383488,179481140,1755383488,152841335,83.55025482177734,32.35232925415039,148.61318969726562,1755383488,133972324,83.537661031309,32.35919786980608,149.30936719828716,0.696325,431.273797
1755383488,679520084,1755383488,650506229,84.09503936767578,32.63928985595703,147.83514404296875,1755383488,634002542,84.07843756934724,32.64554809163694,148.5012922245767,0.666384,431.940182
1755383489,179486789,1755383489,147340877,84.62793731689453,32.925315856933594,147.04005432128906,1755383489,133994085,84.61261130635341,32.932495926007675,147.66554299476923,0.625718,432.565899
1755383489,679479678,1755383489,649558551,85.15724182128906,33.213890075683594,146.21783447265625,1755383489,633981360,85.14028680697294,33.22012673632506,146.80323089275382,0.585675,433.151574
1755383490,179577563,1755383490,149059126,85.67655944824219,33.50257873535156,145.37435913085938,1755383490,133971450,85.6614722401549,33.50847684265487,145.9156080979725,0.541491,433.693066
1755383490,679698500,1755383490,647298437,86.19466400146484,33.79478073120117,144.50401306152344,1755383490,633974339,86.17607518388644,33.79752740588002,145.0041078046089,0.500448,434.193513
1755383491,179508294,1755383491,145656265,86.70207977294922,34.0840950012207,143.623779296875,1755383491,134104062,86.68415583466165,34.087345685557295,144.06990317344352,0.446496,434.640009
1755383491,679492717,1755383491,646649156,87.20584106445312,34.374637603759766,142.72256469726562,1755383491,634100176,87.18539925814068,34.37778366307019,143.1148783145191,0.392858,435.032867
1755383492,179525130,1755383492,146400621,87.70103454589844,34.66435623168945,141.80494689941406,1755383492,134227585,87.68000383764318,34.66898791052992,142.13997038296836,0.335715,435.368582
1755383492,679496869,1755383492,650781398,88.19147491455078,34.95485305786133,140.86614990234375,1755383492,633956172,88.16739346999258,34.960646897248154,141.1476640817374,0.282602,435.651184
1755383493,179468819,1755383493,152207476,88.67440032958984,35.24859619140625,139.91433715820312,1755383493,133934142,88.64817574724368,35.253153834455716,140.13806440345937,0.225305,435.876489
1755383493,679480537,1755383493,652694152,89.14842224121094,35.54286575317383,138.9491729736328,1755383493,633910965,89.12203940871198,35.546354964170746,139.11313369365715,0.166106,436.042595
1755383494,179571791,1755383494,159190796,89.61474609375,35.83640670776367,137.9662628173828,1755383494,134202435,89.58923679164359,35.84044314483795,138.0736355314841,0.110435,436.153031
1755383494,679525763,1755383494,634553729,90.07586669921875,36.129783630371094,136.9677734375,1755383494,633923320,90.04885811397833,36.13487337834715,137.02295751600977,0.061649,436.214680
1755383495,179493346,1755383495,136504672,90.53050994873047,36.42576217651367,135.9525604248047,1755383495,133915220,90.50167724455882,36.430168448537444,135.96069801405167,0.030281,436.244961
1755383495,679487706,1755383495,638518339,90.97679901123047,36.7204704284668,134.92701721191406,1755383495,633911363,90.94738306530682,36.726162089517445,134.8889032811351,0.048481,436.293442
1755383496,179480729,1755383496,140608965,91.41481018066406,37.016666412353516,133.89332580566406,1755383496,133923594,91.38594160945519,37.02286418917501,133.80899229781065,0.089353,436.382795
1755383496,679501038,1755383496,639584872,91.84548950195312,37.31409454345703,132.85366821289062,1755383496,633950846,91.81729752139132,37.32026993180651,132.72243530750353,0.134369,436.517164
1755383497,179490668,1755383497,139160177,92.27204895019531,37.61427307128906,131.80087280273438,1755383497,133903247,92.24133254974315,37.618328887388415,131.63086653873142,0.172806,436.689970
1755383497,679487535,1755383497,661827777,92.69249725341797,37.91534423828125,130.7462615966797,1755383497,633922573,92.65812053157947,37.91712505898363,130.53542264737504,0.213631,436.903601
1755383498,179510615,1755383498,163178141,93.10440826416016,38.2164192199707,129.6884307861328,1755383498,133900339,93.06752275034515,38.216591657020885,129.43778585473177,0.253345,437.156945
1755383498,679498395,1755383498,664230653,93.5079345703125,38.51641845703125,128.62498474121094,1755383498,633914317,93.46956514959045,38.51677989270806,128.33919790658183,0.288351,437.445296
1755383499,179480909,1755383499,164110134,93.90531921386719,38.818946838378906,127.54657745361328,1755383499,133895890,93.86414452033607,38.817645189000885,127.24124167307646,0.308102,437.753399
1755383499,679498684,1755383499,663879695,94.29158020019531,39.11914825439453,126.47587585449219,1755383499,633900161,94.25126233422993,39.119220843556334,126.14520419541951,0.333121,438.086519
1755383500,179565291,1755383500,149323749,94.67037200927734,39.42058181762695,125.40042877197266,1755383500,133904733,94.63086073434127,39.421494690631334,125.05252613592353,0.350140,438.436660
1755383500,679513529,1755383500,646566643,95.0412826538086,39.72231674194336,124.32672882080078,1755383500,633902903,95.00289354439263,39.724462377448816,123.96460528462458,0.364159,438.800819
1755383501,179536104,1755383501,170162910,95.4076156616211,40.026771545410156,123.24420928955078,1755383501,133948323,95.36736071387317,40.028157318567565,122.88268954498957,0.363757,439.164575
1755383501,679495502,1755383501,651439277,95.76152038574219,40.32907485961914,122.17192077636719,1755383501,634008209,95.72424516023744,40.3326007114115,121.8080574647935,0.365785,439.530360
1755383502,179493971,1755383502,153400298,96.10983276367188,40.634944915771484,121.10269927978516,1755383502,133934935,96.07325616660302,40.63757304446989,120.74280944384782,0.361753,439.892113
1755383502,679494860,1755383502,650169721,96.45325469970703,40.94131088256836,120.04499816894531,1755383502,633998160,96.41476678600301,40.943433849470836,119.68700359478788,0.360064,440.252177
1755383503,179494955,1755383503,149578380,96.79146575927734,41.25096130371094,118.98301696777344,1755383503,133940007,96.74830129788373,41.249789423227966,118.6432889156973,0.342461,440.594638
1755383503,679674870,1755383503,649313663,97.11882781982422,41.55704116821289,117.93643951416016,1755383503,633962498,97.07417065210055,41.55695476252974,117.61185500407059,0.327642,440.922280
1755383504,179528531,1755383504,148637228,97.4376220703125,41.86478805541992,116.8936538696289,1755383504,133980849,97.39221234181457,41.86481387991229,116.59434472653325,0.302734,441.225015
1755383504,679540862,1755383504,661886906,97.7484130859375,42.17211151123047,115.86265563964844,1755383504,634005945,97.70244198151828,42.17341658685382,115.59181787357856,0.274715,441.499729
1755383505,179526760,1755383505,156315120,98.05139923095703,42.48260498046875,114.8394546508789,1755383505,133896354,98.00461186677418,42.4825442956913,114.60616785428445,0.237932,441.737661
1755383505,679484509,1755383505,654321553,98.34777069091797,42.794029235839844,113.82891845703125,1755383505,633909978,98.2989771883966,42.792488940455584,113.63762616010618,0.197423,441.935085
1755383506,179476572,1755383506,151607171,98.63312530517578,43.103370666503906,112.83143615722656,1755383506,133916578,98.58538203942572,43.10312451718917,112.68773609903684,0.151424,442.086509
1755383506,679486547,1755383506,653073170,98.9100570678711,43.414100646972656,111.85030364990234,1755383506,633938845,98.86380941051603,43.41446594042658,111.75756162050634,0.103634,442.190143
1755383507,179480805,1755383507,152870932,99.17823028564453,43.72602462768555,110.8880386352539,1755383507,133943143,99.13420754036537,43.7264883143165,110.84825483301795,0.059338,442.249481
1755383507,679492310,1755383507,653878502,99.44190216064453,44.03970718383789,109.94583129882812,1755383507,633927860,99.39654888365136,44.0391917241696,109.96085853198204,0.047781,442.297261
1755383508,179490169,1755383508,152999901,99.69857788085938,44.35320281982422,109.02693176269531,1755383508,133909318,99.6508166169416,44.35258864978317,109.09634872019748,0.084263,442.381524
1755383508,679485765,1755383508,652374725,99.94775390625,44.666717529296875,108.12642669677734,1755383508,633922247,99.89699991889738,44.66670005419533,108.2556490834578,0.138832,442.520356
